algoritmo,n,caso,tiempo_us,memoria_kb
brute_force,3,0,1.165,4180
greedy1,3,0,2.264,4244
greedy2,3,0,0.881,4244
dynamic_programming,3,0,97967.8,15988
brute_force,3,1,2.617,15988
greedy1,3,1,1.992,15988
greedy2,3,1,0.784,15988
dynamic_programming,3,1,88229.5,15988
brute_force,3,2,1.616,15988
greedy1,3,2,2.455,15988
greedy2,3,2,0.557,15988
dynamic_programming,3,2,57964.9,15988
brute_force,5,0,0.918,15996
greedy1,5,0,3.292,15996
greedy2,5,0,0.313,15996
dynamic_programming,5,0,21627.6,15996
brute_force,5,1,18.819,15996
greedy1,5,1,3.477,15996
greedy2,5,1,1.044,15996
dynamic_programming,5,1,111943,15996
brute_force,5,2,2.455,15996
greedy1,5,2,2.613,15996
greedy2,5,2,0.541,15996
dynamic_programming,5,2,90029.6,15996
brute_force,8,0,0.387,15996
greedy1,8,0,3.136,15996
greedy2,8,0,0.317,15996
dynamic_programming,8,0,31746,15996
brute_force,8,1,0.426,15996
greedy1,8,1,3.109,15996
greedy2,8,1,0.242,15996
dynamic_programming,8,1,12856.8,15996
brute_force,8,2,141.741,15996
greedy1,8,2,3.69,15996
greedy2,8,2,1.109,15996
dynamic_programming,8,2,282743,15996
greedy1,20,0,7.17,16000
greedy2,20,0,2.669,16000
dynamic_programming,20,0,316179,16000
greedy1,20,1,6.657,16000
greedy2,20,1,0.997,16000
dynamic_programming,20,1,109514,16000
greedy1,20,2,7.1,16000
greedy2,20,2,2.677,16000
dynamic_programming,20,2,1.10819e+06,16000
greedy1,40,0,12.255,16016
greedy2,40,0,3.982,16016
dynamic_programming,40,0,327380,16016
greedy1,40,1,11.644,16016
greedy2,40,1,0.542,16016
dynamic_programming,40,1,5501.82,16016
greedy1,40,2,10.706,16016
greedy2,40,2,3.914,16016
dynamic_programming,40,2,1.28737e+06,16016
greedy1,80,0,24.049,16032
greedy2,80,0,8.422,16032
dynamic_programming,80,0,3.96594e+06,16032
greedy1,80,1,23.303,16032
greedy2,80,1,6.167,16032
dynamic_programming,80,1,1.57634e+06,16032
greedy1,80,2,23.941,16032
greedy2,80,2,8.31,16032
dynamic_programming,80,2,773408,16032
greedy1,100,0,28.169,16044
greedy2,100,0,11.126,16044
dynamic_programming,100,0,1.41138e+06,16044
greedy1,100,1,29.462,16044
greedy2,100,1,11.725,16044
dynamic_programming,100,1,2.00352e+06,16044
greedy1,100,2,30.255,16044
greedy2,100,2,8.946,16044
dynamic_programming,100,2,1.80089e+06,16044
greedy1,150,0,45.311,16064
greedy2,150,0,17.698,16064
dynamic_programming,150,0,4.34047e+06,16064
greedy1,150,1,44.858,16064
greedy2,150,1,19.97,16064
dynamic_programming,150,1,2.18127e+06,16064
greedy1,150,2,45.405,16064
greedy2,150,2,3.381,16064
dynamic_programming,150,2,140979,16064
greedy1,200,0,58.673,16076
greedy2,200,0,25.538,16076
dynamic_programming,200,0,1.72246e+06,16076
greedy1,200,1,58.194,16076
greedy2,200,1,17.767,16076
dynamic_programming,200,1,1.92981e+06,16076
greedy1,200,2,60.51,16076
greedy2,200,2,19.673,16076
dynamic_programming,200,2,3.6584e+06,16076
greedy1,ctrl_n_10,0,6.25,16076
greedy2,ctrl_n_10,0,0.92,16076
dynamic_programming,ctrl_n_10,0,104552,16076
greedy1,ctrl_n_20,0,7.583,16076
greedy2,ctrl_n_20,0,2.177,16076
dynamic_programming,ctrl_n_20,0,209760,16076
greedy1,ctrl_n_40,0,13.084,16076
greedy2,ctrl_n_40,0,4.593,16076
dynamic_programming,ctrl_n_40,0,434997,16076
greedy1,ctrl_n_60,0,17.831,16076
greedy2,ctrl_n_60,0,4.289,16076
dynamic_programming,ctrl_n_60,0,631582,16076
greedy1,ctrl_n_80,0,24.726,16076
greedy2,ctrl_n_80,0,6.741,16076
dynamic_programming,ctrl_n_80,0,834601,16076
greedy1,ctrl_n_100,0,29.049,16076
greedy2,ctrl_n_100,0,7.152,16080
dynamic_programming,ctrl_n_100,0,1.04439e+06,16080
greedy1,ctrl_n_120,0,55.078,16080
greedy2,ctrl_n_120,0,14.429,16080
dynamic_programming,ctrl_n_120,0,1.27054e+06,16080
greedy1,ctrl_n_150,0,45.17,16080
greedy2,ctrl_n_150,0,18.17,16084
dynamic_programming,ctrl_n_150,0,1.56621e+06,16084
greedy1,ctrl_n_200,0,60.476,16084
greedy2,ctrl_n_200,0,23.73,16084
dynamic_programming,ctrl_n_200,0,2.07042e+06,16084
greedy1,ctrl_M_500,0,15.736,16084
greedy2,ctrl_M_500,0,4.079,16084
dynamic_programming,ctrl_M_500,0,142696,16084
greedy1,ctrl_M_1000,0,15.086,16084
greedy2,ctrl_M_1000,0,6.039,16084
dynamic_programming,ctrl_M_1000,0,332710,16084
greedy1,ctrl_M_1500,0,15.152,16084
greedy2,ctrl_M_1500,0,5.241,16084
dynamic_programming,ctrl_M_1500,0,520792,16084
greedy1,ctrl_M_2000,0,14.682,16084
greedy2,ctrl_M_2000,0,4.408,16084
