algoritmo,n,caso,resultado
brute_force,3,0,3827948249
greedy1,3,0,2573702028
greedy2,3,0,3261161404
dynamic_programming,3,0,3827948249
brute_force,3,1,6365371295
greedy1,3,1,5117436903
greedy2,3,1,5117436903
dynamic_programming,3,1,6365371295
brute_force,3,2,3256710114
greedy1,3,2,2837457326
greedy2,3,2,3256710114
dynamic_programming,3,2,3256710114
brute_force,5,0,1881886341
greedy1,5,0,970182964
greedy2,5,0,970182964
dynamic_programming,5,0,1881886341
brute_force,5,1,5118817117
greedy1,5,1,2842226747
greedy2,5,1,3962891922
dynamic_programming,5,1,5118817117
brute_force,5,2,2875633582
greedy1,5,2,2174048614
greedy2,5,2,2010764651
dynamic_programming,5,2,2875633582
brute_force,8,0,411640630
greedy1,8,0,62629656
greedy2,8,0,411640630
dynamic_programming,8,0,411640630
brute_force,8,1,722641003
greedy1,8,1,722641003
greedy2,8,1,722641003
dynamic_programming,8,1,722641003
brute_force,8,2,5893810158
greedy1,8,2,1522313706
greedy2,8,2,5588622126
dynamic_programming,8,2,5893810158
greedy1,20,0,4425654258
greedy2,20,0,6411965929
dynamic_programming,20,0,7515802846
greedy1,20,1,1575743522
greedy2,20,1,2730175175
dynamic_programming,20,1,4349615806
greedy1,20,2,5005727400
greedy2,20,2,7059393769
dynamic_programming,20,2,10875896101
greedy1,40,0,3682531867
greedy2,40,0,5945527443
dynamic_programming,40,0,7785449639
greedy1,40,1,601781573
greedy2,40,1,601781573
dynamic_programming,40,1,601781573
greedy1,40,2,6923854273
greedy2,40,2,7027186195
dynamic_programming,40,2,12915178049
greedy1,80,0,4196640011
greedy2,80,0,7162726982
dynamic_programming,80,0,16745195483
greedy1,80,1,3089654235
greedy2,80,1,5463765917
dynamic_programming,80,1,10435383191
greedy1,80,2,5281133396
greedy2,80,2,8058628024
dynamic_programming,80,2,9077985442
greedy1,100,0,4545533787
greedy2,100,0,9401420598
dynamic_programming,100,0,12144891136
greedy1,100,1,4883258836
greedy2,100,1,9979078753
dynamic_programming,100,1,12988384215
greedy1,100,2,2992776171
greedy2,100,2,8425993718
dynamic_programming,100,2,12926474725
greedy1,150,0,4033518302
greedy2,150,0,9879076307
dynamic_programming,150,0,14715189115
greedy1,150,1,5038428356
greedy2,150,1,11677677710
dynamic_programming,150,1,15051295081
greedy1,150,2,1199005467
greedy2,150,2,1986852121
dynamic_programming,150,2,2798305828
greedy1,200,0,4158693804
greedy2,200,0,9869336170
dynamic_programming,200,0,13106307320
greedy1,200,1,2251013577
greedy2,200,1,6653105976
dynamic_programming,200,1,11595781760
greedy1,200,2,2748103922
greedy2,200,2,8386228393
dynamic_programming,200,2,16594258839
greedy1,ctrl_n_10,0,2771895134
greedy2,ctrl_n_10,0,4119966507
dynamic_programming,ctrl_n_10,0,5133369479
greedy1,ctrl_n_20,0,3629553321
greedy2,ctrl_n_20,0,4951204766
dynamic_programming,ctrl_n_20,0,7118770593
greedy1,ctrl_n_40,0,4547878732
greedy2,ctrl_n_40,0,7292157035
dynamic_programming,ctrl_n_40,0,10051250587
greedy1,ctrl_n_60,0,1057724247
greedy2,ctrl_n_60,0,5582891792
dynamic_programming,ctrl_n_60,0,8782081173
greedy1,ctrl_n_80,0,2660296569
greedy2,ctrl_n_80,0,6114838381
dynamic_programming,ctrl_n_80,0,9932696984
greedy1,ctrl_n_100,0,3256285797
greedy2,ctrl_n_100,0,5247297128
dynamic_programming,ctrl_n_100,0,9209171568
greedy1,ctrl_n_120,0,4105302357
greedy2,ctrl_n_120,0,10903711480
dynamic_programming,ctrl_n_120,0,13568455211
greedy1,ctrl_n_150,0,4546054430
greedy2,ctrl_n_150,0,10709046716
dynamic_programming,ctrl_n_150,0,13735645970
greedy1,ctrl_n_200,0,2562014973
greedy2,ctrl_n_200,0,11687337844
dynamic_programming,ctrl_n_200,0,16142634657
greedy1,ctrl_M_500,0,2937932643
greedy2,ctrl_M_500,0,5447995715
dynamic_programming,ctrl_M_500,0,5762237065
greedy1,ctrl_M_1000,0,2701432689
greedy2,ctrl_M_1000,0,8632708304
dynamic_programming,ctrl_M_1000,0,9655735070
